,Name,Username,Profile ID,Date,Likes,Comment,User Verified,Thumbnail,Comment ID,Profile URL,Comment URL,Is_Toxic
1,_mr.sharp_x,,48896335297,3/24/2025 11:53,0,Re lanja kodaka yendhira idhi . instagram or dharidram  thoo mee bhakuthukulu,no,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-19/473810901_1148908883065134_8135861396797720371_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QEmUUIxOyY6VNvTDmb74tymmHTveCd62CETYgTpmEf0Oc9RIx_AIasK4aE33Jhl6cc&_nc_ohc=ZWuS9QVEUTwQ7kNvgE8ol3q&_nc_gid=kbhCdfMsENzzlhe3qqMvcQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYEZNF97a_oSdG250NDXGWm-yAIy_9otY6Q2mIbbRMghjw&oe=67E73F63&_nc_sid=0985b0,1.80E+16,https://www.instagram.com/_mr.sharp_x,https://www.instagram.com/p/DHfABrTz7Y0/c/17951220104933929,yes
2,durgarao4365,,46057776396,3/24/2025 11:55,0,Back side pedda iron rod vundhi chudu adhi teesi ne gudhalo pettukora kojja na kodaka,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/314590781_167990432503529_8302491070524749255_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QEmUUIxOyY6VNvTDmb74tymmHTveCd62CETYgTpmEf0Oc9RIx_AIasK4aE33Jhl6cc&_nc_ohc=0K3rCtUlfvcQ7kNvgGCbTds&_nc_gid=kbhCdfMsENzzlhe3qqMvcQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYHcqAgTyHvFROrKOCW2Ou4doPfIpjMDviTKADmx-yjeXQ&oe=67E7480B&_nc_sid=0985b0,1.80E+16,https://www.instagram.com/durgarao4365,https://www.instagram.com/p/DHfABrTz7Y0/c/17961583433761073,yes
3,vasudevanpadiga,,70134699570,3/24/2025 11:57,0,అరేయ్ ఎందిరా ఇది,no,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-19/464132452_427844080021883_111041998981293197_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEmUUIxOyY6VNvTDmb74tymmHTveCd62CETYgTpmEf0Oc9RIx_AIasK4aE33Jhl6cc&_nc_ohc=AnxpqPQQ-VsQ7kNvgFhLi5W&_nc_gid=kbhCdfMsENzzlhe3qqMvcQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYEOeLWRSQzAMeqi0UgA1f5KX9XnGvP85r0rsP4y4aPbvQ&oe=67E74E8B&_nc_sid=0985b0,1.80E+16,https://www.instagram.com/vasudevanpadiga,https://www.instagram.com/p/DHfABrTz7Y0/c/17975153858828978,no
4,maheer841,,39015402763,3/24/2025 12:02,0,Lopala em ledu motham dolla ..😂😂,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/475900197_584171464433151_8139767590643458295_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QEmUUIxOyY6VNvTDmb74tymmHTveCd62CETYgTpmEf0Oc9RIx_AIasK4aE33Jhl6cc&_nc_ohc=8bWrjm2ssE8Q7kNvgGgLJR4&_nc_gid=kbhCdfMsENzzlhe3qqMvcQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYE3NW-0rx0H45BVGRZpRE0nGBAxSCsQlomHxIBnDD5h8g&oe=67E73D35&_nc_sid=0985b0,1.81E+16,https://www.instagram.com/maheer841,https://www.instagram.com/p/DHfABrTz7Y0/c/18094277941490708,no
5,vr_varma__46,,14674738559,3/24/2025 12:03,0,@x_one_in_million2222 😂😂😂,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/433906060_1066823014385030_1684875563360161484_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QEmUUIxOyY6VNvTDmb74tymmHTveCd62CETYgTpmEf0Oc9RIx_AIasK4aE33Jhl6cc&_nc_ohc=rUXhM-JIAwoQ7kNvgHrmmYy&_nc_gid=kbhCdfMsENzzlhe3qqMvcQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYHXEyHSLjUY8-4ZWddgY_ltj-R5gc_uIP-DBcY_hbs_4A&oe=67E7486E&_nc_sid=0985b0,1.81E+16,https://www.instagram.com/vr_varma__46,https://www.instagram.com/p/DHfABrTz7Y0/c/18053806571173734,no
6,multi_minset,,54928102742,3/24/2025 12:03,0,Kuthalo balapalu pettukundhi avaru chudakandi broo,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/486041935_1026266116023099_8262710932265779301_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QEmUUIxOyY6VNvTDmb74tymmHTveCd62CETYgTpmEf0Oc9RIx_AIasK4aE33Jhl6cc&_nc_ohc=jFoKZcRnoTIQ7kNvgHW1wtW&_nc_gid=kbhCdfMsENzzlhe3qqMvcQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYF4J2FsnF2Nc1Tv3njsseD6Pgmaj5mgYA51BY1x-OKQmg&oe=67E75793&_nc_sid=0985b0,1.84E+16,https://www.instagram.com/multi_minset,https://www.instagram.com/p/DHfABrTz7Y0/c/18366993409124971,yes
7,im.abid_mohammad,,39466551559,3/24/2025 12:08,0,పూజ కి పనికిరాని పువ్వు🤣🤣,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/472872239_2361603067571812_2806732804855295997_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QEmUUIxOyY6VNvTDmb74tymmHTveCd62CETYgTpmEf0Oc9RIx_AIasK4aE33Jhl6cc&_nc_ohc=5yuAbuSlFkgQ7kNvgGVfypH&_nc_gid=kbhCdfMsENzzlhe3qqMvcQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYE4WI8zDrJ_mPKRH0f2SCxw_Dbf7vK7q7K-DJtBYzNPfw&oe=67E75471&_nc_sid=0985b0,1.81E+16,https://www.instagram.com/im.abid_mohammad,https://www.instagram.com/p/DHfABrTz7Y0/c/18061685237479547,no
8,rajeshjen1080,,7394496407,3/24/2025 12:10,0,Uppal ballu pamputunanu aggu,no,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-19/451800987_1027863449043358_6247375171139838359_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QEmUUIxOyY6VNvTDmb74tymmHTveCd62CETYgTpmEf0Oc9RIx_AIasK4aE33Jhl6cc&_nc_ohc=AZ5hRtK2goEQ7kNvgEVwxKr&_nc_gid=kbhCdfMsENzzlhe3qqMvcQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYEM7LWqlCXkukFHsvAjGjTqx7sWXq-zU04nuHZh6w8jZA&oe=67E754EE&_nc_sid=0985b0,1.79E+16,https://www.instagram.com/rajeshjen1080,https://www.instagram.com/p/DHfABrTz7Y0/c/17867129439263997,no
9,nobi_shuzi_431,,67143819053,3/24/2025 13:08,0,Enti andi maku ee aarachakam insta open kuda cheyali ani kuda intrest potundi chii,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/486189388_638608845748082_8577968264254180559_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=7YLJUWefh5gQ7kNvgHoaKrF&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYEXuQkuNttOSSG_n6MHMSE8DrsvH-ZiqXRlUDF5yqDQlg&oe=67E7503E&_nc_sid=0985b0,1.79E+16,https://www.instagram.com/nobi_shuzi_431,https://www.instagram.com/p/DHfABrTz7Y0/c/17875557915296870,no
10,siva_gopi_nayak_07,,39170039534,3/24/2025 13:11,0,Belt vesukoo akka chupechy budhi neku una chusee budhi maku ledhu 🙏,no,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/485838821_1623625888274837_7378345698038911763_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QEeb4aPNg7oYq1AqpY1y_WfSHecSQ70fic0tiryxqwFqT7NLJ7TVwLli2Esn7OUz-A&_nc_ohc=_tbVRkCWeHoQ7kNvgEqZhKe&_nc_gid=QbRXWzVa3NIwAhjWjTJzDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYFpr57fdXuCxDSGDCFe5zNzXVDX_FeVx-fK5J-i10c5XQ&oe=67E75C0C&_nc_sid=0985b0,1.79E+16,https://www.instagram.com/siva_gopi_nayak_07,https://www.instagram.com/p/DHfABrTz7Y0/c/17939992955990626,no
